sample_output_rna	sample_output_ribo
ENST00000382264	37.9716	0.921314
ENST00000404220	37.9716	0.921314
ENST00000342136	76.9051	29.6016
ENST00000342101	0	0
ENST00000382238	135.008	6.62168
ENST00000413881	0	0
ENST00000443073	56.9683	2.26005
ENST00000447980	22.865	1.0724
ENST00000382241	76.905	29.6016
ENST00000433395	0	0
ENST00000432231	179.405	0
ENST00000290200	68.9585	6.65976
ENST00000422891	0	0
ENST00000451065	20.0415	3.34024
ENST00000270139	0	0
ENST00000442071	91.6787	7
ENST00000442357	0	0
ENST00000416947	918.321	122
ENST00000290219	319.377	24.659
ENST00000439213	1.16283	0.529211
ENST00000381995	11.2507	0.811788
ENST00000405436	671.209	0
ENST00000420455	138.455	27.6751
ENST00000542230	138.455	27.6751
ENST00000442441	4.33243	0.818256
ENST00000432504	93.7567	14.8316
ENST00000381947	43	7.66667
ENST00000314399	43	7.66667
ENST00000402202	43	7.66667
ENST00000381815	116.839	29.5555
ENST00000381831	116.839	29.5555
ENST00000381839	116.839	29.5555
ENST00000424203	0	0
ENST00000361093	238.84	77.0653
ENST00000366093	233.902	52.246
ENST00000430874	0	0
ENST00000426819	0	0
ENST00000438059	0	0
ENST00000441403	180.945	107.705
ENST00000543717	219.797	53.3171
ENST00000356577	618.396	243.649
ENST00000381692	1001.22	162.313
ENST00000300278	451.04	183.682
ENST00000455528	0.201546	0.0822258
ENST00000381679	2338.56	1039.86
ENST00000436227	2806.08	641.374
ENST00000421541	1001.08	153.716
ENST00000429093	497.007	100.362
ENST00000457208	10.2134	1.87993
ENST00000290239	0.201546	0.0822258
ENST00000303113	0	0
ENST00000453626	0	0
ENST00000457359	0	0
ENST00000303071	0	0
ENST00000417871	0	0
ENST00000444517	0	0
ENST00000442660	0	0
ENST00000437395	244.589	13.4505
ENST00000432378	0	0
ENST00000440810	52.0405	4.85503
ENST00000429238	130.531	39.8004
ENST00000381554	383.115	37.0165
ENST00000290244	0	0
ENST00000381540	26.7502	1.34197
ENST00000452420	220.318	0
