sample_output_rna	sample_output_ribo
ENST00000331923	379.704	271.904055
ENST00000443785	77.3876	88.323101
ENST00000290178	44.4077	36.129622
ENST00000382375	0	0
ENST00000382378	0	0
ENST00000490358	78.887	20.194061
ENST00000487113	78.887	20.194061
ENST00000382373	22.0039	4.310281
ENST00000479548	78.887	20.194061
ENST00000536776	78.887	20.194061
ENST00000382357	566.976	4239.645392
ENST00000333337	566.976	4239.645392
ENST00000382348	711.001	5819.486918
ENST00000333063	524.407	4113.369918
ENST00000451980	0	0
ENST00000382264	148.081	11.496845
ENST00000404220	148.081	11.496845
ENST00000342136	177.061	218.077877
ENST00000342101	0	0
ENST00000382238	1064.29	167.031073
ENST00000413881	0	0
ENST00000443073	363.254	46.112976
ENST00000447980	172.365	25.868069
ENST00000382241	177.061	218.077877
ENST00000433395	0	0
ENST00000432231	3816.94	0.000000
ENST00000290200	275.15	85.029283
ENST00000422891	0	0
ENST00000451065	138.003	73.598006
ENST00000270139	0	0
ENST00000442071	1363.29	333.078150
ENST00000442357	0	0
ENST00000416947	2249.5	956.265290
ENST00000290219	1217.95	300.905340
ENST00000439213	53.3865	77.744904
ENST00000381995	40.0956	9.257382
ENST00000405436	3611.83	0.000000
ENST00000420455	1552.77	993.148366
ENST00000542230	1552.77	993.148366
ENST00000442441	52.5567	31.762489
ENST00000432504	3556.95	1800.499087
ENST00000381947	138.024	78.744923
ENST00000314399	138.024	78.744923
ENST00000402202	138.024	78.744923
ENST00000381815	127.975	103.587039
ENST00000381831	127.975	103.587039
ENST00000381839	127.975	103.587039
ENST00000424203	0	0
ENST00000361093	672.69	694.535634
ENST00000366093	3049.87	2179.865496
ENST00000430874	0	0
ENST00000426819	0	0
ENST00000438059	0	0
ENST00000441403	2690.7	5124.883158
ENST00000543717	458.112	355.586297
ENST00000356577	270.968	341.620695
ENST00000381692	2667.38	1383.679369
ENST00000300278	208.502	271.700373
ENST00000455528	0.0922614	0.120443
ENST00000381679	1184.27	1685.020666
ENST00000436227	2090.49	1528.934720
ENST00000421541	3735	1835.141630
ENST00000429093	15168	9800.826222
ENST00000457208	284.12	167.340718
ENST00000290239	0.0922614	0.120443
ENST00000303113	0	0
ENST00000453626	0	0
ENST00000457359	0	0
ENST00000303071	0	0
ENST00000417871	0	0
ENST00000444517	0	0
ENST00000442660	0	0
ENST00000437395	536.833	94.464552
ENST00000432378	0	0
ENST00000440810	319.994	95.525833
ENST00000429238	1084.08	1057.710196
ENST00000381554	1399.11	432.559124
ENST00000290244	0	0
ENST00000381540	107.985	17.334401
ENST00000452420	6243.02	0.000000
ENST00000441940	5272.24	3066.268121
ENST00000445393	529.831	16.574587
ENST00000361534	140.043	22.220382
ENST00000429827	0	0
ENST00000420072	0	0
ENST00000440526	0	0
ENST00000414079	9002.82	225.742133
ENST00000426935	0	0
ENST00000431177	0	0
ENST00000417979	15064.9	4191.300343
ENST00000413017	6372.92	528.933494
ENST00000399353	914.208	354.002951
ENST00000444491	533.983	280.876418
ENST00000381318	15.3911	21.934555
ENST00000381291	158.048	69.290793
ENST00000399367	58.0167	82.932504
ENST00000399352	1007.83	443.771952
ENST00000399355	28.4045	11.517632
ENST00000399349	209.143	85.197875
ENST00000451686	0	0
ENST00000381283	0	0
ENST00000419241	696.746	1229.073284
ENST00000440794	0	0
ENST00000437126	387.169	0.000000
ENST00000381284	0	0
ENST00000420666	0	0
ENST00000415023	302.957	376.265102
ENST00000381285	0	0
ENST00000437442	26.3313	30.826525
ENST00000399326	0	0
ENST00000379960	33.9866	16.227964
ENST00000399338	0	0
ENST00000431254	2331.93	3277.625113
ENST00000290299	11362.1	20673.465033
ENST00000418933	12119.9	34771.754146
ENST00000399312	1583.57	8041.372125
ENST00000608209	47.5713	1961.109606
ENST00000381151	47.5713	1961.109606
ENST00000290310	17.7557	0.000000
ENST00000399299	571.404	1828.402996
ENST00000410005	83.7672	0.000000
ENST00000450895	14.0843	0.000000
ENST00000399289	0	0
ENST00000399286	0	0
ENST00000416357	0	0
ENST00000399284	0	0
ENST00000337385	0	0
ENST00000432085	0	0
ENST00000482533	4487.28	996.059679
ENST00000481448	0	0
ENST00000381132	238.79	59.761269
ENST00000487990	4487.28	996.059679
ENST00000399272	4266.93	1331.775498
ENST00000313806	357.484	578.469919
ENST00000492600	0	0
ENST00000381135	0	0
ENST00000443408	4487.28	996.059679
