sample_output_rna	sample_output_ribo
ENST00000553001	188.759000	127.825488
ENST00000431599	0.000000	0.000000
ENST00000440966	363.900000	306.926809
ENST00000382549	2183.750000	1512.309659
ENST00000290155	1638.760000	1258.704389
ENST00000425336	3323.340000	426.577329
ENST00000300260	0.000000	0.000000
ENST00000458138	901.041000	682.991879
ENST00000540881	0.000000	0.000000
ENST00000438952	1889.440000	3170.064815
ENST00000382499	0.000000	0.000000
ENST00000433931	212.301000	542.205579
ENST00000418301	2710.790000	5862.840272
ENST00000416083	0.000000	0.000000
ENST00000429236	0.000000	0.000000
ENST00000456084	0.000000	0.000000
ENST00000382491	110.780000	253.825445
ENST00000322229	1875.650000	4215.932577
ENST00000357345	0.000000	0.000000
ENST00000331923	379.704000	271.904055
ENST00000443785	77.387600	88.323101
ENST00000290178	44.407700	36.129622
ENST00000382375:ENST00000382378	0.000000	0.000000
ENST00000490358:ENST00000487113:ENST00000479548:ENST00000536776	315.548000	80.776244
ENST00000382373	22.003900	4.310281
ENST00000382357:ENST00000333337	1133.952000	8479.290784
ENST00000382348	711.001000	5819.486918
ENST00000333063	524.407000	4113.369918
ENST00000451980	0.000000	0.000000
ENST00000382264:ENST00000404220	296.162000	22.993690
ENST00000342136:ENST00000382241	354.122000	436.155754
ENST00000342101	0.000000	0.000000
ENST00000382238	1064.290000	167.031073
ENST00000413881	0.000000	0.000000
ENST00000443073	363.254000	46.112976
ENST00000447980	172.365000	25.868069
ENST00000433395	0.000000	0.000000
ENST00000432231	3816.940000	0.000000
ENST00000290200	275.150000	85.029283
ENST00000422891	0.000000	0.000000
ENST00000451065	138.003000	73.598006
ENST00000270139	0.000000	0.000000
ENST00000442071	1363.290000	333.078150
ENST00000442357	0.000000	0.000000
ENST00000416947	2249.500000	956.265290
ENST00000290219	1217.950000	300.905340
ENST00000439213	53.386500	77.744904
ENST00000381995	40.095600	9.257382
ENST00000405436	3611.830000	0.000000
ENST00000420455:ENST00000542230	3105.540000	1986.296732
ENST00000442441	52.556700	31.762489
ENST00000432504	3556.950000	1800.499087
ENST00000381947:ENST00000314399:ENST00000402202	414.072000	236.234769
ENST00000381815:ENST00000381831:ENST00000381839	383.925000	310.761117
ENST00000424203	0.000000	0.000000
ENST00000361093	672.690000	694.535634
ENST00000366093	3049.870000	2179.865496
ENST00000430874	0.000000	0.000000
ENST00000426819	0.000000	0.000000
ENST00000438059	0.000000	0.000000
ENST00000441403	2690.700000	5124.883158
ENST00000543717	458.112000	355.586297
ENST00000356577	270.968000	341.620695
ENST00000381692	2667.380000	1383.679369
ENST00000300278	208.502000	271.700373
ENST00000455528:ENST00000290239	0.184523	0.240886
ENST00000381679	1184.270000	1685.020666
ENST00000436227	2090.490000	1528.934720
ENST00000421541	3735.000000	1835.141630
ENST00000429093	15168.000000	9800.826222
ENST00000457208	284.120000	167.340718
ENST00000303113	0.000000	0.000000
ENST00000453626	0.000000	0.000000
ENST00000457359	0.000000	0.000000
ENST00000303071	0.000000	0.000000
ENST00000417871	0.000000	0.000000
ENST00000444517	0.000000	0.000000
ENST00000442660	0.000000	0.000000
ENST00000437395	536.833000	94.464552
ENST00000432378	0.000000	0.000000
ENST00000440810	319.994000	95.525833
ENST00000429238	1084.080000	1057.710196
ENST00000381554	1399.110000	432.559124
ENST00000290244	0.000000	0.000000
ENST00000381540	107.985000	17.334401
ENST00000452420	6243.020000	0.000000
ENST00000441940	5272.240000	3066.268121
ENST00000445393	529.831000	16.574587
ENST00000361534	140.043000	22.220382
ENST00000429827	0.000000	0.000000
ENST00000420072	0.000000	0.000000
ENST00000440526	0.000000	0.000000
ENST00000414079	9002.820000	225.742133
ENST00000426935	0.000000	0.000000
ENST00000431177	0.000000	0.000000
ENST00000417979	15064.900000	4191.300343
ENST00000413017	6372.920000	528.933494
ENST00000399353	914.208000	354.002951
ENST00000444491	533.983000	280.876418
ENST00000381318	15.391100	21.934555
ENST00000381291	158.048000	69.290793
ENST00000399367	58.016700	82.932504
ENST00000399352	1007.830000	443.771952
ENST00000399355	28.404500	11.517632
ENST00000399349	209.143000	85.197875
ENST00000451686	0.000000	0.000000
ENST00000381283	0.000000	0.000000
ENST00000419241	696.746000	1229.073284
ENST00000440794	0.000000	0.000000
ENST00000437126	387.169000	0.000000
ENST00000381284	0.000000	0.000000
ENST00000420666	0.000000	0.000000
ENST00000415023	302.957000	376.265102
ENST00000381285	0.000000	0.000000
ENST00000437442	26.331300	30.826525
ENST00000399326	0.000000	0.000000
ENST00000379960	33.986600	16.227964
ENST00000399338	0.000000	0.000000
ENST00000431254	2331.930000	3277.625113
ENST00000290299	11362.100000	20673.465033
ENST00000418933	12119.900000	34771.754146
ENST00000399312	1583.570000	8041.372125
ENST00000608209	47.571300	1961.109606
ENST00000381151	47.571300	1961.109606
ENST00000290310	17.755700	0.000000
ENST00000399299	571.404000	1828.402996
ENST00000410005	83.767200	0.000000
ENST00000450895	14.084300	0.000000
ENST00000399289:ENST00000399286:ENST00000416357:ENST00000399284:ENST00000337385:ENST00000432085	0.000000	0.000000
ENST00000482533:ENST00000487990:ENST00000443408	13461.840000	2988.179037
ENST00000481448:ENST00000381135	0.000000	0.000000
ENST00000381132	238.790000	59.761269
ENST00000399272	4266.930000	1331.775498
ENST00000313806	357.484000	578.469919
ENST00000492600	0.000000	0.000000
ENST00000360731	0.000000	0.000000
ENST00000349499	6.670120	149.403158
ENST00000344691	0.000000	0.000000
ENST00000300305:ENST00000437180	0.000000	0.000000
ENST00000399240	0.000000	0.000000
ENST00000358356	0.000000	0.000000
ENST00000399237	0.000000	0.000000
ENST00000455571	14.084300	0.000000
ENST00000325074	0.000000	0.000000
ENST00000486278	0.000000	0.000000
ENST00000599809	5558.900000	0.000000
ENST00000399215:ENST00000332131	0.000000	0.000000
ENST00000399212	503.401000	643.862341
ENST00000399205:ENST00000399201	472.600000	216.496546
ENST00000399208:ENST00000399207	0.000000	0.000000
ENST00000424303	0.000000	0.000000
ENST00000429161	150.930000	13.993748
ENST00000446166	1971.680000	100.965926
ENST00000442559	0.000000	0.000000
ENST00000443703	3558.410000	506.761892
ENST00000530908	2645.480000	5144.317320
ENST00000290349	4897.280000	10427.599555
ENST00000439427	335.408000	623.167487
ENST00000399191	368.178000	491.353058
ENST00000290354	375.810000	2155.763157
ENST00000270190	0.000000	0.000000
ENST00000399151	124.166000	864.298782
ENST00000400485	208.772000	1277.966542
ENST00000546482:ENST00000549948:ENST00000551788	2715.613000	2135.566521
ENST00000552581	0.000000	0.000000
ENST00000314103	180.336000	1013.186021
ENST00000399139:ENST00000399137:ENST00000399135:ENST00000399136:ENST00000342108	0.000000	0.000000
ENST00000595927	40.772400	0.000000
ENST00000290399	0.000000	0.000000
ENST00000431229	0.000000	0.000000
ENST00000483178	0.000000	0.000000
ENST00000430056	0.000000	0.000000
ENST00000336648:ENST00000399120	166.111600	1048.863272
ENST00000448340	0.000000	0.000000
ENST00000419461	0.000000	0.000000
ENST00000427746	2095.170000	2072.217780
ENST00000329553	0.000000	0.000000
ENST00000360525:ENST00000399102:ENST00000399103	898.932000	0.000000
ENST00000464265	525.161000	0.000000
ENST00000399098	2909.230000	0.000000
ENST00000418766	0.000000	0.000000
ENST00000450533	0.000000	0.000000
ENST00000438055	0.000000	0.000000
ENST00000540756	674.569000	91.036297
ENST00000399010	0.000000	0.000000
ENST00000399017:ENST00000354749:ENST00000355666	5989.600000	1747.419733
ENST00000414818	5148.110000	636.784842
ENST00000411496	3147.790000	999.329487
ENST00000428693	5213.180000	2280.581173
ENST00000309117	651.489000	431.684241
ENST00000399001	1035.830000	57.391000
ENST00000476950	0.000000	0.000000
ENST00000398998	0.000000	0.000000
ENST00000539844	0.000000	0.000000
ENST00000288304	0.000000	0.000000
ENST00000338785:ENST00000451934	0.000000	0.000000
ENST00000426672	1340.700000	1152.180633
ENST00000339659	1257.800000	563.447049
ENST00000398960	0.000000	0.000000
ENST00000398956	168.956000	74.420626
ENST00000321219	0.000000	0.000000
ENST00000455387	1376.650000	589.913949
ENST00000597817	0.000000	0.000000
ENST00000609713:ENST00000288309	63.697400	3548.346204
